author,gender,pseudonym,title,title_en,subtitle,year_begin,source,sep_edition,city,genre,characters,narration,main_genre,general_genre,POS_title,title_length,canon_status,genre1,genre2,genre3,genre4,genre5
"Мордовцев, Даниил Лукич",мужской,0,Поиманы ести Богом и великим государем,Caught by God and the Great Sovereign,исторический фреск 1509-1510 гг.,1888,Исторический вестник,1,Санкт-Петербург,историческая повесть,аристократия прошлого,3 лицо,исторический,исторический,NOUN NOUN NOUN CONJ NOUN NOUN,6,0,,,,,
"Данилевский, Григорий Петрович",мужской,0,Черный год,The Black Year,роман,1888,Русская мысль,0,,исторический,легендарные исторические фигуры,3 лицо,исторический,исторический,NOUN NOUN,2,0,,,,,
"Соколов, Александр Алексеевич",мужской,1,Белый генерал,The White General,роман,1888,Отд. изд.,1,Санкт-Петербург,исторический,,,исторический,исторический,ADJF NOUN,2,0,,,,,
"Соколов, Александр Алексеевич",мужской,1,За честь и свободу,For Honour and Freedom,роман в 2 частях,1888,Отд. изд.,1,Санкт-Петербург,исторический,,,исторический,исторический,PREP NOUN CONJ NOUN,4,0,,,,,
"Нестеров, Сергей Маркович",мужской,0,Под ярмом миллионов,Under the Yoke of Millions,роман из уголовных хроник,1888,Новости дня,0,,уголовный,криминальный мир,,уголовный,криминальный,PREP NOUN NOUN,3,0,,,,,
"Соколов, Александр Алексеевич",мужской,1,Зиновий Богдан Хмельницкий — освободитель Малороссии,"Zinoviy Bogdan Khmelnytsky, Liberator of Little Russia",Исторический роман в 2 частях,1888,Отд. изд.,1,Санкт-Петербург,исторический,,,исторический,исторический,NOUN NOUN ADJF NOUN NOUN,6,0,,,,,
"Пономарев, Иван Николаевич",мужской,0,Жертвы адвоката,The Lawyer's Victims,роман в 2 частях,1888,Петербургский листок,0,,авантюрный,,,авантюрный,приключенческий,NOUN NOUN,2,0,,,,,
"Соколов, Александр Алексеевич",мужской,1,Курсистка,The Woman Student,роман в 3 частях,1888,Отд. изд.,1,Санкт-Петербург,социальный,,,социальный,социальный,NOUN,1,0,,,,,
"Каренин, Владимир",женский,1,Муся,Musya,роман в 2-х частях,1888,Вестник Европы,0,,любовный,дворяне,3 лицо,любовный,любовный,NOUN,1,0,,,,,
"Пономарев, Иван Николаевич",мужской,0,Живой товар: (Из бердичевских тайн),Live Goods (From the Secrets of Berdichev),роман в 3 частях,1888,Луч,0,,уголовный,криминальный мир,,уголовный,криминальный,NOUN NOUN PREP ADJF NOUN,5,0,,,,,
"Окрейц, Станислав Станиславович",мужской,0,В Сибири,In Siberia,уголовный роман С.С. Окрейца,1888,Отд. изд.,1,Санкт-Петербург,уголовный,криминальный мир,3 лицо,уголовный,криминальный,PREP NOUN,2,0,,,,,
"Вольский, А.",женский,1,Жена,The Wife,роман,1888,Отд. изд.,1,Санкт-Петербург,,,,,,NOUN,1,0,,,,,
"Иогель/Йогель, Михаил Константинович",мужской,0,Царевна Софья,Tsarevna Sophia,роман,1888,Отд. изд.,1,Москва,исторический,,,исторический,исторический,NOUN NOUN,2,0,,,,,
"Волокос, А. (псевдоним)",мужской,1,За что ее убили,Why They Killed Her,Роман в 2 частях,1888,Отд. изд.,1,Санкт-Петербург,уголовный,криминальный мир,3 лицо,уголовный,криминальный,PREP CONJ NPRO VERB,4,0,,,,,
"Крестовский, Всеволод Владимирович",мужской,0,Тьма Египетская,Egyptian Darkness,роман,1888,Русский вестник,0,,исторический,"духовенство, народности и этнические группы",3 лицо,исторический,исторический,NOUN ADJF,2,0,,,,,
"Ясинский, Иероним Иеронимович",мужской,0,Вечный праздник,Eternal Feast,роман,1888,Отд. изд.,1,Санкт-Петербург,,,,,,ADJF NOUN,2,0,,,,,
"Иванов, Федор Константинович",мужской,0,Убийство в Зарядье,A Murder in Zaryadye,роман из уголовной хроники,1888,Московский листок,0,,"исторический, уголовный",криминальный мир,,исторический,исторический,NOUN PREP NOUN,3,0,,,,,
"Соколов, Александр Алексеевич",мужской,1,Устинья Федоровна (Устя) — атаман волжских головорезов,"Ustinya Fyodorovna (Ustya), Ataman of the Volga Cutthroats",роман,1888,Отд. изд.,1,Санкт-Петербург,исторический,"аристократия прошлого, легендарные исторические фигуры",,исторический,исторический,NOUN NOUN NOUN NOUN ADJF NOUN,7,0,,,,,
"Прохоров-Риваль, Владимир Алексеевич",мужской,1,В пороховом дыму,In Gunpowder Smoke,роман,1888,Новости дня,0,,социальный,театральная и художественная богема,,социальный,социальный,PREP ADJF NOUN,3,0,,,,,
"Каратыгин, Петр Петрович",мужской,0,Дела давно минувших дней,Deeds of Long-Bygone Days,роман,1888,Отд. изд.,1,Санкт-Петербург,исторический,легендарные исторические фигуры,,исторический,исторический,NOUN ADVB ADJF NOUN,4,0,,,,,
"Хрущев-Сокольников, Гавриил Александрович",мужской,0,Провинция,The Provinces,Роман,1888,Отд. изд.,1,Санкт-Петербург,социально-бытовой,дворяне,3 лицо,социальный,социальный,NOUN,1,0,,,,,
"Салиас, Евгений Андреевич",мужской,1,Камер-юнгфера,The Lady's Maid,повесть,1888,Отд. изд.,1,Санкт-Петербург,историческая повесть,военные,3 лицо,исторический,исторический,NOUN,1,0,исторический,бытовой,любовный,,
"Аничкова, Идалия Мечиславовна",женский,0,Наташа Озерова,Natasha Ozerova,Роман из современных русских нравов,1888,Отд. изд.,1,Санкт-Петербург,,,,,,NOUN NOUN,2,0,,,,,
"Мамин-Сибиряк, Дмитрий Наркисович",мужской,1,Именинник,The Name-Day Celebrant,роман,1888,Наблюдатель,0,,социально-психологический,дворяне,3 лицо,социально-психологический,социально-психологический,NOUN,1,0,социально-психологический,бытовой,,,
"Салиас, Евгений Андреевич",мужской,1,Бригадирская внучка,The Brigadier's Granddaughter,московская быль,1888,Нива,1,Москва,исторический,"дворяне, военные",3 лицо,исторический,исторический,ADJF NOUN,2,0,исторический,авантюрный,любовный,,
"Цеханович, Александр Николаевич",мужской,0,Новая сила,A New Force,Роман А. Цехановича,1888,Минута,0,,,,3 лицо,,,ADJF NOUN,2,0,,,,,
"Хрущев-Сокольников, Гавриил Александрович",мужской,0,Месть и золото,Revenge and Gold,роман из уголовной хроники,1888,Свет,0,,,,3 лицо,,,NOUN CONJ NOUN,3,0,,,,,
"Салиас, Евгений Андреевич",мужской,1,Аракчеевский сынок,Arakcheev's Son,роман,1888,Исторический вестник,1,Санкт-Петербург,исторический,военные,3 лицо,исторический,исторический,ADJF NOUN,2,0,исторический,биографический,политический,авантюрный,
"Добров, Ф.",мужской,1,Перст судьбы,The Finger of Fate,роман,1888,Отд. изд.,1,Санкт-Петербург,социальный,разночинцы,,социальный,социальный,NOUN NOUN,2,0,,,,,
Зео,женский,1,Первая жена,The First Wife,роман в 2-х частях,1888,Новорос. Телеграф,0,,социально-психологический,,,социально-психологический,социально-психологический,ADJF NOUN,2,0,,,,,
"Прохоров-Риваль, Владимир Алексеевич",мужской,1,В погоню за счастьем,In Pursuit of Happiness,Роман,1888,Новости дня,0,,авантюрный,,3 лицо,авантюрный,приключенческий,PREP NOUN PREP NOUN,4,0,,,,,
"Добров, Ф.",мужской,1,"Владимир Красное Солнышко, или девятьсот лет назад","Vladimir the Fair Sun, or Nine Hundred Years Ago",роман,1888,Отд. изд.,1,Санкт-Петербург,исторический,"аристократия прошлого, легендарные исторические фигуры",,исторический,исторический,NOUN ADJF NOUN CONJ NUMR NOUN ADVB,7,0,,,,,
"Филиппов, Михаил Михайлович",мужской,0,Патриарх Никон,Patriarch Nikon,исторический роман,1889,Отд. изд.,1,Санкт-Петербург,исторический,духовенство/священники,3 лицо,исторический,исторический,NOUN NOUN,2,0,исторический,биографический,религиозный,политический,
"Нагродская, Евдокия Аполлоновна",женский,0,Мертвая петля,The Death Loop,роман,1889,Свет,1,Санкт-Петербург,"уголовный, детективный",духовенство/священники,,уголовный,криминальный,ADJF GRND,2,0,,,,,
"Филиппов, Михаил Михайлович",мужской,0,Осажденный Севастополь,Sevastopol Besieged,исторический роман,1889,Отд. изд.,1,Санкт-Петербург,исторический,дворяне,3 лицо,исторический,исторический,PRTF NOUN,2,0,исторический,военный,,,
"Апраксин, Александр Дмитриевич",мужской,0,Каин и Авель,Cain and Abel,роман,1889,Отд. изд.,1,Санкт-Петербург,светский,аристократия,3 лицо,светский,светский,NOUN CONJ NOUN,3,0,,,,,
"Назарьева, Капитолина Валериановна",женский,0,В тисках,In the Grip,роман,1889,Отд. изд.,1,Санкт-Петербург,,,,,,PREP NOUN,2,0,,,,,
"Немирович-Данченко, Василий Иванович",мужской,0,Семья богатырей,A Family of Bogatyrs,роман в 3-х частях,1889,Отд. изд.,1,Санкт-Петербург,социально-психологический,дворяне,3 лицо,социально-психологический,социально-психологический,NOUN NOUN,2,0,социально-психологический,семейный,бытовой,,
"Николаев, Н.",мужской,0,Рабы вражды,Slaves of Enmity,Роман из времен польских заговоров и мятежа 1863 г.,1889,Отд. изд.,1,Санкт-Петербург,исторический,,,исторический,исторический,NOUN NOUN,2,0,,,,,
"Назарьева, Капитолина Валериановна",женский,0,"Брак, каких мало",A Rare Marriage,Роман,1889,Живописное обозрение,0,,семейная хроника,,3 лицо,семейный,семейный,NOUN ADJF ADVB,3,0,,,,,
"Нагродская, Евдокия Аполлоновна",женский,0,Черное дело,A Black Deed,,1889,Свет,1,Санкт-Петербург,уголовный,,3 лицо,уголовный,криминальный,ADJF NOUN,2,0,,,,,
"Соколов, Александр Алексеевич",мужской,1,Старые и новые коммерсанты,Old and New Merchants,роман в 3-х частях,1889,Отд. изд.,1,Санкт-Петербург,,,,,,NOUN CONJ NOUN NOUN,4,0,,,,,
"Соколова, Александра Ивановна",женский,0,Примадонна,The Prima Donna,Роман,1889,Петербургский листок,0,,,,3 лицо,,,NOUN,1,0,,,,,
"Эртель, Александр Иванович",мужской,0,"Гарденины, их дворня, приверженцы и враги","The Gardenins, Their Retainers, Adherents, and Enemies",роман,1889,Русская мысль,0,,социально-психологический,"дворяне, крестьяне",3 лицо,социально-психологический,социально-психологический,NOUN NPRO NOUN NOUN CONJ NOUN,6,0,социально-психологический,бытовой,семейный,хроникальный,
"Шеллер-Михайлов, Александр Константинович",мужской,1,Из-за власти,For the Sake of Power,роман-хроника,1889,Живописное обозрение,0,,исторический,,,исторический,исторический,PREP NOUN,2,0,,,,,
"Соколов, Александр Алексеевич",мужской,1,"Кровью, огнем и железом","By Blood, Fire, and Iron",роман,1889,Отд. изд.,1,Санкт-Петербург,исторический,,,исторический,исторический,NOUN NOUN CONJ NOUN,4,0,,,,,
"Ясинский, Иероним Иеронимович",мужской,0,Трагики,The Tragedians,роман,1889,Отд. изд.,1,Санкт-Петербург,,разночинцы (артисты/актёры),,,,NOUN,1,0,,,,,
"Шеллер-Михайлов, Александр Константинович",мужской,1,Победители,The Victors,роман,1889,Северный вестник,0,,любовный,чиновники,3 лицо,любовный,любовный,NOUN,1,0,любовный,социально-психологический,бытовой,,
"Голицын (Муравлин), Дмитрий Петрович",мужской,0,Рубли,Roubles,роман,1889,Отд. изд.,1,Санкт-Петербург,социально-психологический,,,социально-психологический,социально-психологический,NOUN,1,0,,,,,
"Апраксин, Александр Дмитриевич",мужской,0,Праздные люди,Idle People,роман,1889,Отд. изд.,1,Санкт-Петербург,семейная хроника,дворяне,3 лицо,семейный,семейный,ADJF NOUN,2,0,,,,,
"Пазухин, Николай Михайлович",мужской,0,Всадник без головы,The Headless Horseman,Роман в 2 частях,1889,Отд. изд.,1,Москва,авантюрный,,,авантюрный,приключенческий,NOUN PREP NOUN,3,0,,,,,
"Немирович-Данченко, Василий Иванович",мужской,0,Исповедь женщины,Confession of a Woman,роман в 3-х частях,1889,Отд. изд.,1,Санкт-Петербург,социально-психологический,дворяне,1 лицо,социально-психологический,социально-психологический,NOUN NOUN,2,0,,,,,
"Мордовцев, Даниил Лукич",мужской,0,Профессор Ратмиров,Professor Ratmirov,роман-быль,1889,Книжки Недели,0,,социально-психологический,,,социально-психологический,социально-психологический,NOUN NOUN,2,0,,,,,
"Соколова, Александра Ивановна",женский,0,Золотая пыль,Golden Dust,оригинальный роман из столичной жизни,1889,Луч,0,,,,,,,ADJF NOUN,2,0,,,,,
"Ясинский, Иероним Иеронимович",мужской,0,Свет погас,The Light Went Out,роман,1889,Наблюдатель,1,Самара,,,,,,NOUN VERB,2,0,,,,,
"Таранский, Г.",мужской,1,Золотое сердце,A Heart of Gold,роман,1889,Отд. изд.,1,Санкт-Петербург,социально-психологический,разночиинцы,3 лицо,социально-психологический,социально-психологический,ADJF NOUN,2,0,,,,,
Зео,женский,1,Три соперницы,Three Rivals,роман в 2-х частях,1889,Новорос. Телеграф,1,Одесса,социально-психологический,,,социально-психологический,социально-психологический,NUMR NOUN,2,0,,,,,
"Иванов, Федор Константинович",мужской,0,Среди погибших,Among the Perished,Рассказ из уголовной хроники,1889,Московский листок,0,,,,3 лицо,,,PREP ADJF,2,0,,,,,
"Иванов, Федор Константинович",мужской,0,Темное дело,A Dark Affair,Рассказ. (Из уголовной хроники),1889,Московский листок,0,,,,3 лицо,,,ADJF NOUN,2,0,,,,,
"Хрущев-Сокольников, Гавриил Александрович",мужской,0,Фараоны,The Pharaohs,большой роман из уголовной хроники,1889,Свет,1,Санкт-Петербург,уголовный,,,уголовный,криминальный,NOUN,1,0,,,,,
"Крестовский, Всеволод Владимирович",мужской,0,Тамара Бендавид,Tamara Bendavid,роман,1889,Русский вестник,0,,"социально-психологичский, исторический",народности и этнические группы,3 лицо,социально-психологический,социально-психологический,NOUN NOUN,2,0,социально-психологический,исторический,идеологический,,
"Иноземцева, Анна Андреевна",женский,0,Отчего она переменила убеждения,Why She Changed Her Convictions,из путевых заметок,1889,Родина,1,Санкт-Петербург,,,,,,CONJ NPRO VERB NOUN,4,0,,,,,
"Шаховская, Людмила Дмитриевна",женский,0,Нерон,Nero,исторический роман,1889,Отд. изд.,1,Москва,исторический,,,исторический,исторический,NOUN,1,0,,,,,
"Пономарев, Иван Николаевич",мужской,0,Миллионер-преступник,The Millionaire-Criminal,уголовный роман,1889,Родина,1,Санкт-Петербург,уголовный,криминальный мир,,уголовный,криминальный,NOUN,1,0,,,,,
"Прохоров-Риваль, Владимир Алексеевич",мужской,1,Жертва чести,A Victim of Honour,Роман,1889,Новости дня,0,,авантюрный,,3 лицо,авантюрный,приключенческий,NOUN NOUN,2,0,,,,,
"Прохоров-Риваль, Владимир Алексеевич",мужской,1,За сто тысяч,For a Hundred Thousand,Роман,1889,Новости дня,0,,"уголовный, детективный",криминальный мир,3 лицо,уголовный,криминальный,PREP NOUN NOUN,3,0,,,,,
"Пономарев, Иван Николаевич",мужской,0,Еврейская баронесса,The Jewish Baroness,роман,1889,Луч,0,,уголовный,,,уголовный,криминальный,ADJF NOUN,2,0,,,,,
"Хованский, М. А.",мужской,0,Невестка Петра Великого (царевна Шарлотта),The Daughter-in-Law of Peter the Great (Tsarevna Charlotte),исторический роман,1889,Отд. изд.,1,Санкт-Петербург,исторический,аристократия прошлого,3 лицо,исторический,исторический,NOUN NOUN NOUN NOUN NOUN,5,0,,,,,
"Прохоров-Риваль, Владимир Алексеевич",мужской,1,В предсмертный час,In the Hour of Death,Роман В.А. Риваля,1889,Развлечение,1,Москва,авантюрный,,3 лицо,авантюрный,приключенческий,PREP ADJF NOUN,3,0,,,,,
"Вашков, Иван Андреевич",мужской,0,Безродная,The Woman without Kin,роман-фельетон,1889,Московский листок,1,Москва,сатирический,,,сатирический,юмористический,ADJF,1,0,,,,,
"Вашков, Иван Андреевич",мужской,0,В пылу сражений,In the Heat of Battle,роман-фельетон,1889,Московский листок,1,Москва,сатирический,,,сатирический,юмористический,PREP NOUN NOUN,3,0,,,,,
"Хрущев-Сокольников, Гавриил Александрович",мужской,0,Грюнвальдский бой (Славяне и немцы),The Battle of Grunwald (Slavs and Germans),роман-хроника в 2-х частях,1889,Отд. изд.,1,Санкт-Петербург,исторический,аристократия прошлого,3 лицо,исторический,исторический,ADJF NOUN NOUN CONJ NOUN,5,0,исторический,военный,этнографический,,
"Цеханович, Александр Николаевич",мужской,0,Звезда балета,The Star of the Ballet,Роман,1889,Минута,0,,,,3 лицо,,,NOUN NOUN,2,0,,,,,
"Салиас, Евгений Андреевич",мужской,1,Аракчеевский подкидыш,Arakcheev's Foundling,роман,1889,Исторический вестник,0,,исторический,военные,3 лицо,исторический,исторический,ADJF NOUN,2,0,исторический,авантюрный,политический,психологический,
"Хрущев-Сокольников, Гавриил Александрович",мужской,0,Гордиев узел,The Gordian Knot,Роман из уголовной хроники Г.А. Хрущова-Сокольникова,1889,Звезда,0,,,,3 лицо,,,NOUN NOUN,2,0,,,,,
"Бибиков, Виктор Иванович",мужской,0,Моя мать,My Mother,"роман, ""Из семейной хроники Гартманова""",1889,Новь,0,,,,,,,ADJF NOUN,2,0,,,,,
"Беломор, А.",мужской,1,Роковая война 18?? года,The Fateful War of 18??,фантастический роман,1889,Отд. изд.,1,Санкт-Петербург,фантастический,военные,,фантастический,фантастический,ADJF NOUN NUMR NOUN,4,0,,,,,
"Салиас, Евгений Андреевич",мужской,1,Барыни-крестьянки,Gentlewomen-Peasants,роман в 2-х частях,1889,Нива,0,,исторический,"дворяне, крестьяне",3 лицо,исторический,исторический,NOUN,1,0,исторический,бытовой,,,
"Волконский, Михаил Николаевич",мужской,0,Семья Колениных,The Kolenin Family,Роман,1890,Русское обозрение,0,,социально-психологический,,3 лицо,социально-психологический,социально-психологический,NOUN NOUN,2,0,,,,,
"Попов, Николай Ардалионович",мужской,0,Русский гарибальдиец и дочь бандита,A Russian Garibaldian and the Bandit's Daughter,роман из недавнего прошлого,1890,Отд. изд.,1,Санкт-Петербург,исторический,,,исторический,исторический,ADJF NOUN CONJ NOUN NOUN,5,0,,,,,
"Желиховская, Вера Петровна",женский,0,Ложь,The Lie,современная быль,1890,Русское обозрение,1,Санкт-Петербург,социально-психологический,дворяне,3 лицо,социально-психологический,социально-психологический,NOUN,1,0,,,,,
"Окрейц, Станислав Станиславович",мужской,0,Крах (Таинственный иностранец),The Crash (The Mysterious Foreigner),Роман в 2 ч.,1890,Отд. изд.,1,Санкт-Петербург,,,,,,NOUN ADJF NOUN,3,0,,,,,
"Пономарев, Иван Николаевич",мужской,0,Петербургские тузы,The Petersburg Aces,Роман,1890,Петербургский листок,0,,уголовный,,3 лицо,уголовный,криминальный,ADJF NOUN,2,0,,,,,
"Амфитеатров, Александр Валентинович",мужской,0,Людмила Верховская,Lyudmila Verkhovskaya,роман,1890,Отд. изд.,1,Москва,авантюрный,дворяне,3 лицо,авантюрный,приключенческий,NOUN ADJF,2,0,,,,,
"Пономарев, Иван Николаевич",мужской,0,Тайны болгар­ского двора,The Mysteries of the Bulgarian Court,Роман в трех частях,1890,Отд. изд.,1,Санкт-Петербург,авантюрно-приключенческий,,3 лицо,авантюрный,приключенческий,NOUN ADJF NOUN,3,0,,,,,
"Мамин-Сибиряк, Дмитрий Наркисович",мужской,1,Три конца,Three Endings,Уральская летопись,1890,Русская мысль,0,,"политический, социально-психологический",рабочие,3 лицо,политический,социально-психологический,NUMR NOUN,2,0,,,,,
"Пономарев, Иван Николаевич",мужской,0,Атаман-мститель,The Avenger Ataman,оригинальный роман в 2-х частях,1890,Отд. изд.,1,Санкт-Петербург,авантюрный,военные,,авантюрный,приключенческий,NOUN,1,0,,,,,
"Потапенко, Игнатий Николаевич",мужской,0,Здравые понятия,Sound Notions,роман,1890,Северный вестник,0,,социально-психологический,дворяне,3 лицо,социально-психологический,социально-психологический,ADJF NOUN,2,0,социально-психологический,идеологический,бытовой,,
"Цеханович, Александр Николаевич",мужской,0,Драма в стенах больницы,A Drama within Hospital Walls,Роман-хроника,1890,Отд. изд.,1,Санкт-Петербург,,,,,,NOUN PREP NOUN NOUN,4,0,,,,,
"Соколова, Александра Ивановна",женский,0,Без воли,Without Will,,1890,Петербургский листок,0,,любовный,дворяне,3 лицо,любовный,любовный,PREP NOUN,2,0,,,,,
"Соколова, Александра Ивановна",женский,0,Без следа,Without a Trace,уголовный роман,1890,Отд. изд.,1,Санкт-Петербург,уголовный,,,уголовный,криминальный,PREP NOUN,2,0,,,,,
"Желиховская, Вера Петровна",женский,0,Княжна Цхени,Princess Tskheni,роман из кавказской жизни,1890,Досуг и дело,1,Санкт-Петербург,авантюрный,народности и этнические группы,3 лицо,авантюрный,приключенческий,NOUN VERB,2,0,,,,,
"Соколова, Александра Ивановна",женский,0,Из-за могилы,From beyond the Grave,роман,1890,Петербургский листок,0,,,,,,,PREP NOUN,2,0,,,,,
"Назарьева, Капитолина Валериановна",женский,0,Развенчанная королева,The Dethroned Queen,роман из современной сербской придворной жизни в 2-х частях,1890,Отд. изд.,1,Санкт-Петербург,,,,,,PRTF NOUN,2,0,,,,,
"Назарьева, Капитолина Валериановна",женский,0,Рыцарь тьмы,A Knight of Darkness,роман,1890,Отд. изд.,1,Санкт-Петербург,уголовный,,,уголовный,криминальный,NOUN NOUN,2,0,,,,,
"Назарьева, Капитолина Валериановна",женский,0,Чертово гнездо,The Devil's Nest,роман в 2 частях,1890,Отд. изд.,1,Санкт-Петербург,,,,,,ADJS NOUN,2,0,,,,,
"Нагродская, Евдокия Аполлоновна",женский,0,Петербургские тайны,The Mysteries of Petersburg,,1890,Свет,0,,уголовный,,3 лицо,уголовный,криминальный,ADJF NOUN,2,0,,,,,
"Авенариус, Василий Петрович",мужской,0,Три венца,Three Crowns,Историческая повесть из времен первого самозванца,1890,Неделя,0,,исторический роман,Лжедмитрий I,3 лицо,исторический,исторический,NUMR NOUN,2,0,,,,,
"Толстой, Г.А.",мужской,1,Обитель святого Иосифа,The Cloister of St Joseph,роман из средневековой монастырской жизни,1890,Отд. изд.,1,Санкт-Петербург,исторический,духовенство/священники,,исторический,исторический,NOUN ADJF NOUN,3,0,,,,,
"Бибиков, Виктор Иванович",мужской,0,Друзья-приятели,Friends and Mates,роман,1890,Живописное обозрение,1,Санкт-Петербург,социально-психологический,,1 лицо,социально-психологический,социально-психологический,NOUN,1,0,,,,,
"Беломор, А.",мужской,1,Черноморский флот в ???? году,The Black Sea Fleet in the Year ????,роман,1890,Русское судоходство,0,,утопический,военные (моряки),,утопический,утопический,ADJF NOUN PREP NOUN,5,0,,,,,
"Соколова, Александра Ивановна",женский,0,Каменное сердце,A Heart of Stone,Роман,1890,Петербургский листок,0,,,,1 лицо,,,ADJF NOUN,2,0,,,,,
"Прохоров-Риваль, Владимир Алексеевич",мужской,1,Жертвы страсти,Victims of Passion,Роман,1890,Русский листок,0,,авантюрный,криминальный мир,3 лицо,авантюрный,приключенческий,NOUN NOUN,2,0,,,,,
"Голохвастов, К.К.",мужской,0,"Одомар, или Литовский волк","Odomar, or The Lithuanian Wolf",историческая повесть,1890,Отд. изд.,1,Санкт-Петербург,исторический,,,исторический,исторический,NOUN CONJ ADJF NOUN,4,0,,,,,
"Николаева, Е.",женский,0,От плахи к почести,From the Block to Honours,исторический роман из эпохи завоевания Сибири в 3-х частях,1890,Луч,1,Санкт-Петербург,исторический,военные,,исторический,исторический,PREP NOUN PREP NOUN,4,0,,,,,
"Александров, Виктор",мужской,0,Медуза,Medusa,роман из уголовной хроники,1890,Отд. изд.,1,Санкт-Петербург,уголовный,дворяне,3 лицо,уголовный,криминальный,NOUN,1,0,,,,,
"Ясинский, Иероним Иеронимович",мужской,0,На заре жизни,At the Dawn of Life,роман,1890,Живописное обозрение,0,,,,,,,PREP NOUN NOUN,3,0,,,,,
"Ясинский, Иероним Иеронимович",мужской,0,Клад,The Treasure,роман,1890,Нива,0,,,,,,,NOUN,1,0,,,,,
"Боборыкин, Петр Дмитриевич",мужской,0,На ущербе,On the Wane,роман,1890,Вестник Европы,0,,социально-психологический,роман о нигилистах,3 лицо,социально-психологический,социально-психологический,PREP NOUN,2,0,,,,,
"Мещерский, Владимир Петрович",мужской,0,Один из наших Мольтке,One of Our Moltkes,этюд,1890,Отд. изд.,1,Санкт-Петербург,,,,,,ADJF PREP ADJF NOUN,4,0,,,,,
"Соколова, Александра Ивановна",женский,0,На смену былому,Replacing the Past,оригинальный роман,1890,Отд. изд.,1,Санкт-Петербург,,,,,,PREP NOUN ADJF,3,0,,,,,
"Вольский, А.",женский,1,Мертвая хватка,The Death Grip,роман,1890,Отд. изд.,1,Санкт-Петербург,,,,,,ADJF NOUN,2,0,,,,,
"Шаховская, Людмила Дмитриевна",женский,0,Весталка,The Vestal,Исторический роман,1890,Отд. изд.,1,Москва,исторический,,,исторический,исторический,NOUN,1,0,,,,,
"Вашков, Иван Андреевич",мужской,0,Роковой выстрел,The Fatal Shot,(Разсказ),1890,Московский листок,0,,,,3 лицо,,,ADJF NOUN,2,0,,,,,
"Лесков, Николай Семенович",мужской,0,Чертовы куклы,The Devil's Puppets,роман,1890,Русская мысль,0,,политический,"интеллигенция, художник, высшее общество",3 лицо,политический,социальный,ADJS NOUN,2,1,политический,социально-психологический,сатирический,,
"Лунский, Евгений",женский,1,За грехи отца,For the Father's Sins,оригинальный роман Евгения Лунского,1890,Колосья,1,Киев,любовный,аристократия,3 лицо,любовный,любовный,PREP NOUN NOUN,3,0,,,,,
"Вашков, Иван Андреевич",мужской,0,Среди зла и преступлений,Amid Evil and Crimes,роман-фельетон,1890,Московский листок,0,,сатирический,,,сатирический,юмористический,PREP NOUN CONJ NOUN,4,0,,,,,
"Шилов, В.",женский,1,Лобановщина,Lobanovshchina,роман,1890,Вестник Европы,0,,семейная хроника,крестьяне,,семейный,семейный,NOUN,1,0,,,,,
"Салиас, Евгений Андреевич",мужской,1,Пан Круль,Pan Krul,исторический роман в 2-х частях,1890,Нива,0,,исторический,аристократия прошлого,3 лицо,исторический,исторический,NOUN NOUN,2,0,исторический,авантюрный,этнографический,,
"Шеллер-Михайлов, Александр Константинович",мужской,1,Ртищев,Rtishchev,роман в 3-х частях,1890,Северный вестник,0,,исторический,эмигранты,3 лицо,исторический,исторический,NOUN,1,0,исторический,биографический,авантюрный,,
"Шеллер-Михайлов, Александр Константинович",мужской,1,Дворец и монастырь,Palace and Monastery,исторический роман-хроника времен Великого князя Василия Ивановича и царя Иоанна Грозного,1890,Живописное обозрение,0,,исторический,аристократия прошлого,3 лицо,исторический,исторический,NOUN CONJ NOUN,3,0,исторический,религиозный,политический,,
"Ахшарумов, Николай Дмитриевич",мужской,0,Блудный сын,The Prodigal Son,Исповедь,1890,Русское обозрение,0,,социально-психологический,,1 лицо,социально-психологический,социально-психологический,ADJF NOUN,2,0,,,,,
"Салиас, Евгений Андреевич",мужской,1,Заира,Zaira,роман,1890,Русское обозрение,0,,исторический,дворяне,3 лицо,исторический,исторический,NOUN,1,0,исторический,любовный,авантюрный,,
"Дубровина, Екатерина Оскаровна",женский,0,Опальный,The Disgraced,исторический роман в 2-х частях,1890,Отд. изд.,1,Санкт-Петербург,исторический,,,исторический,исторический,ADJF,1,0,,,,,
"Дмитриев, К.",мужской,0,"Не в силе Бог, а в правде",God Is Not in Might but in Right,исторический роман из времен Иоанна III,1890,Отд. изд.,1,Санкт-Петербург,исторический,аристократия прошлого,3 лицо,исторический,исторический,PRCL PREP NOUN NOUN CONJ PREP NOUN,7,0,исторический,религиозный,идеологический,,
"Крестовская, Мария Всеволодовна",женский,0,Артистка,The Actress,Роман,1891,Вестник Европы,0,,"соц. психологичский, исторический","разночинцы (артисты), интеллигенция",3 лицо,социально-психологический,социально-психологический,NOUN,1,0,,,,,
"Вашков, Иван Андреевич",мужской,0,Кровавая месть,Bloody Vengeance,роман-фельетон,1891,Московский листок,0,,сатирический,,,сатирический,юмористический,ADJF NOUN,2,0,,,,,
"Апраксин, Александр Дмитриевич",мужской,0,На волоске,By a Thread,роман,1891,Отд. изд.,1,Санкт-Петербург,светский,аристократия,3 лицо,светский,светский,PREP NOUN,2,0,,,,,
